Repository,Abstract,URL,Published At,SATD related predict,ground_truth,reason
twbs,"Release announcement blog post: https://blog.getbootstrap.com/2016/07/25/bootstrap-3-3-7-released/****### JavaScript**- #19192 Fix keyboard navigation for toggle buttons (checkbox, radio, single toggle) following a mouse click**- #19659: Clear tooltip's `$element` to prevent leaking memory**- #20019: Avoid calling `jQuery('#')` since it's a syntax error in jQuery 3**- #20259: Backport jQuery-related JS unit test fixes from v4**- #20278: button.js: Set disabled property in addition to disabled attribute, for jQuery 3 compatibility**- #20313: Avoid using `$.offset()` on SVGs since it gives incorrect results in jQuery 3**- #20338: Update jQuery version check and jQuery dependency version range to allow jQuery 3****### CSS****No significant changes.****### Accessibility**- #19704: Add `aria-label` and callout about labeling pagination components****### Docs**- #19263 Bump html5shiv to v3.7.3**- #19273 Port v4 browser support table format to v3**- #19893: Update jQuery to v1.12.4**- Numerous Wall of Browser Bugs updates**",https://api.github.com/repos/twbs/bootstrap/releases/3733222,2016-07-25T16:04:06Z,1,1,code_debt
tensorflow,"Add 5D support for `BroadcastSub`, `Maximum`, `Minimum`, `Transpose` and `BroadcastDiv`.    ",https://api.github.com/repos/tensorflow/tensorflow/releases/28928821,2020-07-27T18:37:19Z,0,0,0
twbs,**- #31114: Docs: forms accessibility clean,https://api.github.com/repos/twbs/bootstrap/releases/31942538,2020-09-29T15:38:32Z,1,1,documentation_debt
tensorflow,"Low-level graph construction now calls the TensorFlow C API. This change should be invisible to most users, but can be disabled by setting the environment variable `TF_C_API_GRAPH_CONSTRUCTION=0` in this release. Future releases will remove the ability to disable this change. Please [file a bug](https://github.com/tensorflow/tensorflow/issues/new) if you find yourself using this escape hatch.",https://api.github.com/repos/tensorflow/tensorflow/releases/10528301,2018-04-13T03:55:51Z,1,1,design debt
facebook,"The server renderer has been completely rewritten, with some improvements:",https://api.github.com/repos/facebook/react/releases/7897724,2017-09-26T17:19:18Z,1,0,0
facebook,"*/}</div>`- Children are now transformed directly into arguments instead of being wrapped in an array  E.g. `<div><Component1/><Component2/></div>` is transformed into `React.DOM.div(null, Component1(null), Component2(null))`.  Previously this would be transformed into `React.DOM.div(null, [Component1(null), Component2(null)])`.  If you were using React without JSX previously, your code should still work.## react-tools- Fixed a number of bugs when transforming directories- No longer re-write `require()`s to be relative unless specified",https://api.github.com/repos/facebook/react/releases/12650,2013-07-19T19:43:51Z,1,1,code_debts
pytorch,Eliminate static default_extra_files_mobile from header import.h ([#50832](https://github.com/pytorch/pytorch/pull/50832,https://api.github.com/repos/pytorch/pytorch/releases/39280362,2021-03-04T20:44:39Z,0,0,0
twbs,**- #35696: Docs - Remove duplicate Octicons entry in icons li,https://api.github.com/repos/twbs/bootstrap/releases/66823120,2022-05-13T16:44:56Z,1,1,deed code
twbs,**- Removed Gist creation in web-based Customizer since anonymous gists were disabled long ago by GitHu,https://api.github.com/repos/twbs/bootstrap/releases/14528836,2018-12-14T00:27:06Z,0,1,compatibility_debt
tensorflow,Add CPU and GPU implementation of modified variation of [`FTRL`](https://www.tensorflow.org/versions/r2.3/api_docs/python/tf/raw_ops/ApplyFtrl)/[`FTRLV2`](https://www.tensorflow.org/versions/r2.3/api_docs/python/tf/raw_ops/ApplyFtrlV2) that can triggerred by `multiply_linear_by_lr` allowing a learning rate of zero.     ### `tf.data`: ,https://api.github.com/repos/tensorflow/tensorflow/releases/28693551,2020-07-18T04:50:38Z,0,0,0
tensorflow,  Fix usage of `__getitem__` slicing in Keras Functional APIs when the inputs are `RaggedTensor` objects.  ,https://api.github.com/repos/tensorflow/tensorflow/releases/46138555,2021-07-13T17:43:32Z,0,0,0
pytorch,Clarified how to check memory saving if using gradient_as_bucket_view ([#71483](https://github.com/pytorch/pytorch/pull/71483,https://api.github.com/repos/pytorch/pytorch/releases/61381447,2022-03-10T16:59:55Z,0,0,0
twbs,**- #36674: Docs: add indeterminate disabled checkbox examp,https://api.github.com/repos/twbs/bootstrap/releases/72344034,2022-07-19T15:47:21Z,1,0,0
numpy,"Previously it would fail when trying to compute a finite range for the data.Since the range is ignored anyway when the bins are given explicitly, this errorwas needless.Note that calling ``histogram`` on NaN values continues to raise the``RuntimeWarning`` s typical of working with nan values, which can be silencedas usual with ``errstate``.``histogram`` works on datetime types, when explicit bin edges are giv",https://api.github.com/repos/numpy/numpy/releases/12059706,2018-07-23T16:38:57Z,1,1,defect_code
numpy,"`numpy.matmul` is now a ufunc which means that both the function and the``__matmul__`` operator can now be overridden by ``__array_ufunc__``. Itsimplementation has also changed. It uses the same BLAS routines as`numpy.dot`, ensuring its performance is similar for large matrices.Start and stop arrays for ``linspace``, ``logspace`` and ``geomspace",https://api.github.com/repos/numpy/numpy/releases/14641517,2018-12-20T15:40:14Z,1,0,0
pytorch,"`nn.UpSampleNearest{1, 2, 3}d` performance on CPU optimized (#31452) ([#31452](https://github.com/pytorch/pytorch/pull/31452)",https://api.github.com/repos/pytorch/pytorch/releases/25725370,2020-04-21T16:26:30Z,1,0,0
twbs,"Minor release to add carousel indicators, improve tooltips, improve dev setup, and fix hella bugs.**- **Repository changes:****  - **Local instead of global dependencies** for our makefile and install process. Now getting started is way easier—just run `npm install`.**  - Upgraded to jQuery 1.9. No changes were needed, but we did upgrade the included jQuery file to the latest release.**  - Moved changelog to be within the repo instead of as a wiki page.**- **New and improved features:****  - **Added carousel indicators!** Add the HTML and it automagically works.**  - **Added `container` option to tooltips.** The default option is still `insertAfter`, but now you may specify where to insert tooltips (and by extension, popovers) with the optional container parameter.**  - Improved popovers now utilize `max-width` instead of `width`, have been widened from 240px to 280px, and will automatically hide the title if one has not been set via CSS `:empty` selector.**  - Improved tooltip alignment on edges with [#6713](https://github.com/twitter/bootstrap/pull/6713).**  - **Improved accessibility for links in all components.** After merging [#6441](https://github.com/twitter/bootstrap/pull/6441), link hover states now apply to the `:focus` state as well. This goes for basic `<a>` tags, as well as buttons, navs, dropdowns, and more.**  - Added print utility classes to show and hide content between `screen` and `print` via CSS.**  - Updated input groups to make them behave more like default form controls. Added `display: inline-block;`, increased `margin-bottom`, and added `vertical-align: middle;`  to match `<input>` styles.**  - Added `.horizontal-three-colors()` gradient mixin (with example in the CSS tests file).**  - Added `.text-left`, `.text-center`, and `.text-right` utility classes for easy typographic alignment.**  - Added `@ms-viewport` so IE10 can use responsive CSS when in split-screen mode.**- **Docs changes:****  - Added [new justified navigation example](https://f.cloud.github.com/assets/98681/25869/5e2f812c-4afa-11e2-9293-501cd689232d.png).**  - Added sticky footer with fixed navbar example.****See more on the [2.3.0 pull request](https://github.com/twitter/bootstrap/pull/6346).**",https://api.github.com/repos/twbs/bootstrap/releases/9879,2013-07-18T00:07:33Z,1,1,requirement debts
numpy, #16114 BLD: put openblas library in local directory on windo,https://api.github.com/repos/numpy/numpy/releases/26120271,2020-05-03T15:52:09Z,0,0,0
tensorflow,"Code that is overly dependent on the exact names attached to symbolic tensors (e.g. assumes there will be "":0"" at the end of the inputs, treats names as         unique identifiers instead of using `tensor.ref()`, etc.)  ",https://api.github.com/repos/tensorflow/tensorflow/releases/33375724,2020-11-02T21:57:54Z,1,1,code_debts
facebook,### React- Fixed memory leak when rendering on the server,https://api.github.com/repos/facebook/react/releases/2908878,2016-03-29T17:35:57Z,1,1,defect_code(memory leak)
tensorflow,  Fixes a vulnerability produced due to incomplete validation in `tf.summary.create_file_writer` ([CVE-2021-41200](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-41200,https://api.github.com/repos/tensorflow/tensorflow/releases/52474767,2021-11-01T20:36:34Z,0,1,defect_debt(hack)
facebook,Fix an incorrect bailout in `useReducer()`. ([@acdlite](https://github.com/acdlite) in [#15124](https://github.com/facebook/react/pull/15124,https://api.github.com/repos/facebook/react/releases/16401945,2019-03-28T07:13:00Z,0,0,0
numpy,"Both implementations have the same ancestor (Fortran77 FFTPACK by Paul N.Swarztrauber), but pocketfft contains additional modifications which improveboth accuracy and performance in some circumstances. For FFT lengths containinglarge prime factors, pocketfft uses Bluestein's algorithm, which maintains:math:`O(N log N)` run time complexity instead of deteriorating towards:math:`O(NN)` for prime lengths. Also, accuracy for real valued FFTs with nearprime lengths has improved and is on par with complex valued FFTs.Further improvements to ``ctypes`` support in `numpy.ctypesli",https://api.github.com/repos/numpy/numpy/releases/18647761,2019-07-16T14:47:29Z,1,1,code_debt(Slow algorithm)
angular,support NgModule class as an argument of the `downgradeModule` function (#43973,https://api.github.com/repos/angular/angular/releases/54981847,2021-12-09T17:10:26Z,0,0,0
pytorch,"Documentation | [Link](https://pytorch.org/docs/stable/generated/torch.nn.parallel.DistributedDataParallel.html#torch.nn.parallel.DistributedDataParallel.join)### [Beta] NCCL Reliability - Async Error/Timeout HandlingIn the past, NCCL training runs would hang indefinitely due to stuck collectives, leading to a very unpleasant experience for users. This feature will abort stuck collectives and throw an exception/crash the process if a potential hang is detected. When used with something like torchelastic (which can recover the training process from the last checkpoint), users can have much greater reliability for distributed training. This feature is completely opt-in and sits behind an environment variable that needs to be explicitly set in order to enable this functionality (otherwise users will see the same behavior as before",https://api.github.com/repos/pytorch/pytorch/releases/33111309,2020-10-27T16:35:58Z,1,1,defect_debts
pytorch,"  - Reassigning attributes in modules correctly works now.  This example used to not work correctly, `l.a` always remained `None`.  Now it works as one would expect:  ```python  l = nn.Linear(10, 20)  l.a = None  l.a = nn.Parameter(torch.randn(2))  # l.a is correctly updated  ```- Fix bug where adding a hook could replace an existing hook- Fix `nn.Embedding` and `nn.CosineEmbeddingLoss` to work without  error on non-float CUDA (half, double)- Fix a bug in `nn.Embedding` when the `max_norm` option was used. Some of the  indices were not respecting `max_norm` and this is fixed.- Fix corner-case in `Variable`'s SetItem where gradient was of incorrect shape.  `x.grad` used to be of shape 20, because `y[1]`` was of shape 20.  ```  x = Variable(torch.randn(1, 20), requires_grad=True)  y = Variable(torch.zeros(10, 20))  y[1] = x  ```- Fix a segfault in Conv1d when input doesn't require grad.- Assertions in `pack_padded_sequence` to check that sequence is of length > 0- `torch.prod`'s autograd forumlae were incorrect if the Tensor had 0. This  formula has been fixed.- Variable `expand` and `expand_as` had incorrect dimension inference when using  broadcasting semantics. The formula has been fixed in these cases.- Fix a size mismatch in `CosineEmbeddingLoss`. [See this issue](https://github.com/pytorch/pytorch/issues/1058) for more details.- Fixed a bug in LBFGS that caused it to use uninitialized locals. [See issue](https://github.com/pytorch/pytorch/issues/1039)- Add assertions for negative padding in `nn.Co",https://api.github.com/repos/pytorch/pytorch/releases/5938760,2017-03-31T16:27:41Z,1,1,code debts
angular,fix(compiler-cli): exclude type-only imports from cycle analysis (#42453,https://api.github.com/repos/angular/angular/releases/44365845,2021-06-09T18:06:06Z,0,0,0
twbs,**- #31276: v5: Tweak some colo,https://api.github.com/repos/twbs/bootstrap/releases/31942538,2020-09-29T15:38:32Z,0,0,0
angular,consider density descriptors with multiple digits as valid (#47230,https://api.github.com/repos/angular/angular/releases/75397111,2022-08-25T21:30:46Z,1,0,0
pytorch,Fix thread safety issue with distributed optimizers and TorchScript ([#46071](https://github.com/pytorch/pytorch/pull/46071))### TorchScri,https://api.github.com/repos/pytorch/pytorch/releases/33111309,2020-10-27T16:35:58Z,1,1,code_debts(Multi-thread correctness)
numpy,"Setting a `MaskedArray.fill_value` to a nonscalar array is deprecatedsince the logic to broadcast the fill value to the array is fragile,especially when slicing.(`gh13698 <https://github.com/numpy/numpy/pull/13698>`\_\_)Deprecate `PyArray_As1D`, `PyArray_As2",https://api.github.com/repos/numpy/numpy/releases/22015758,2019-12-06T02:14:03Z,1,1,code_debt
angular,include component name into unknown element/property error message (#46160,https://api.github.com/repos/angular/angular/releases/68471016,2022-06-02T16:57:04Z,0,0,0
angular,correct type of nextState parameter in canDeactivate (#48038,https://api.github.com/repos/angular/angular/releases/83941441,2022-11-23T02:56:36Z,0,0,0
facebook,"`useId` is a new hook for generating unique IDs on both the client and server, while avoiding hydration mismatches. It is primarily useful for component libraries integrating with accessibility APIs that require unique IDs. This solves an issue that already exists in React 17 and below, but it’s even more important in React 18 because of how the new streaming server renderer delivers HTML out-of-orde",https://api.github.com/repos/facebook/react/releases/63062908,2022-03-29T17:22:34Z,1,1,compatibility_debt
pytorch, `torch.jit.save()`: Improve error message when trying to save a model with Python code. ([#16850](https://github.com/pytorch/pytorch/pull/16850,https://api.github.com/repos/pytorch/pytorch/releases/17080796,2019-05-01T00:09:03Z,1,1,code debts
angular,introduce EnvironmentProviders wrapper type (#47669,https://api.github.com/repos/angular/angular/releases/79679497,2022-10-12T18:38:24Z,0,0,0
twbs,**- #31877: Apply smooth-scroll when `prefers-reduced-motion: no-preferenc,https://api.github.com/repos/twbs/bootstrap/releases/33814902,2020-11-11T17:13:10Z,0,0,0
pytorch,Improve `native_batch_norm_backward` performance on CUDA ([#58240](https://github.com/pytorch/pytorch/pull/58240),https://api.github.com/repos/pytorch/pytorch/releases/43927405,2021-06-15T16:06:52Z,1,1,code_debt(Slow algorithm)
tensorflow,Remove unmaintained `tf.contrib.ndlstm`. You can find it externally at https://github.com/tmbarchive/tfndlstm.,https://api.github.com/repos/tensorflow/tensorflow/releases/10195374,2018-03-21T17:26:57Z,0,1,code debts
numpy,    277c501cfcc67767d73d83a53ba69ecb  numpy1.15.4cp27cp27mmacosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl    4c687d8cd7833e0b549d4a20905f29a2  numpy1.15.4cp27cp27mmanylinux1_i686.whl    988d0b321d0b7576b105528fc948ddc3  numpy1.15.4cp27cp27mmanylinux1_x86_64.whl    ea6bd39d05539847a0ebb12ff955251a  numpy1.15.4cp27cp27mumanylinux1_i686.whl    8ef2d1ea4571cdd0e7e8dfd5128436b4  numpy1.15.4cp27cp27mumanylinux1_x86_64.whl    b550d4cc012623a0c38f1392e08f4805  numpy1.15.4cp27nonewin32.whl    cb38e4778d9db33199dc7bb6a69ce089  numpy1.15.4cp27nonewin_amd64.whl    fa0acf5b2f852454346df5486a4ff4d9  numpy1.15.4cp34cp34mmacosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl    a7614f6318899aa1bfbc337232c4647f  numpy1.15.4cp34cp34mmanylinux1_i686.whl    ae16e02274996ff926a30f23f6d6d7e8  numpy1.15.4cp34cp34mmanylinux1_x86_64.whl    c1e1f381de7abc96509d4c5463903755  numpy1.15.4cp34nonewin32.whl    c269c8f2fce6cefdffe5e3821fc04fb5  numpy1.15.4cp34nonewin_amd64.whl    8906282c374b9b008c5c6401e5dc750b  numpy1.15.4cp35cp35mmacosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl    537949e404ecc5814cb0db534bdfef36  numpy1.15.4cp35cp35mmanylinux1_i686.whl    3b10a2fcf8610bbbfe08161e1d9d176e  numpy1.15.4cp35cp35mmanylinux1_x86_64.whl    b67621a1c9b8dcac707ca22055629e9f  numpy1.15.4cp35nonewin32.whl    25b45b69d624cb07a8c05a5f82779b0a  numpy1.15.4cp35nonewin_amd64.whl    76ed46a4d4e9cdb7076bf1359d9df1d4  numpy1.15.4cp36cp36mmacosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl    b98cbad7770856dc12c827dca7c201b4  numpy1.15.4cp36cp36mmanylinux1_i686.whl    6293fa6db83849aab3a8b1a606cf3d03  numpy1.15.4cp36cp36mmanylinux1_x86_64.whl    21df485f92248c13cab3838762d717f6  numpy1.15.4cp36nonewin32.whl    c9cf7a267f8d2f57dc6384cc8b9f5acf  numpy1.15.4cp36nonewin_amd64.whl    1f6990e094c6b2bb47c6a528ac7b1263  numpy1.15.4cp37cp37mmacosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl    e79239cd9a3ce3cbfa5e7345bfb2ca56  numpy1.15.4cp37cp37mmanylinux1_i686.whl    fc046ba978ef4dd0556af09643c57d30  numpy1.15.4cp37cp37mmanylinux1_x86_64.whl    6291159933eb5a7f9c0bf28ae9707739  numpy1.15.4cp37nonewin32.whl    6097910d675f9e81d5d131b91a6c5c61  numpy1.15.4cp37nonewin_amd64.whl    b3626fec2f39ab01cad8bbb63a103742  numpy1.15.4.tar.gz    219ac537d12cf06ed14f478662096ebc  numpy1.15.4.zipSHA2,https://api.github.com/repos/numpy/numpy/releases/13818967,2018-11-04T16:55:20Z,0,0,0
facebook,Add `act(async () => ...)` for testing asynchronous state updates. ([@threepointone](https://github.com/threepointone) in [#14853](https://github.com/facebook/react/pull/14853,https://api.github.com/repos/facebook/react/releases/19177438,2019-08-08T21:14:59Z,0,0,0
pytorch,`torch.empty_strided` Add docs ([23735](https://github.com/pytorch/pytorch/pull/23735),https://api.github.com/repos/pytorch/pytorch/releases/20597721,2019-10-10T17:26:52Z,0,0,0
twbs,**- #37399: Only show added in page badge if releva,https://api.github.com/repos/twbs/bootstrap/releases/87186776,2022-12-24T16:39:27Z,0,0,0
twbs,**- #37282: Docs: standardize usage of `<kbd,https://api.github.com/repos/twbs/bootstrap/releases/87186776,2022-12-24T16:39:27Z,0,0,0
twbs,**- [#32077](https://github.com/twbs/bootstrap/pull/32077): Switch to Hu,https://api.github.com/repos/twbs/bootstrap/releases/36608458,2021-01-19T16:19:39Z,0,0,0
pytorch,Allow inlining of more Tensor methods ([#53905](https://github.com/pytorch/pytorch/pull/53905))  ,https://api.github.com/repos/pytorch/pytorch/releases/43927405,2021-06-15T16:06:52Z,0,0,0
tensorflow,"  (since v2.7) `tf.Variable.scatter_add` (and other scatter methods, both on ref and resource variables)      ",https://api.github.com/repos/tensorflow/tensorflow/releases/58476446,2022-02-02T16:54:38Z,0,0,0
numpy,"The printing style of ``np.void`` arrays is now independently customizableusing the ``formatter`` argument to ``np.set_printoptions``, using the``'void'`` key, instead of the catchall ``numpystr`` key as before.Reduced memory usage of ``np.loadtxt",https://api.github.com/repos/numpy/numpy/releases/8895424,2017-12-13T20:57:32Z,1,1,code_debts
pytorch,Add function signature for `pixel_shuffle` (#[45661](https://github.com/pytorch/pytorch/pull/45661,https://api.github.com/repos/pytorch/pytorch/releases/33111309,2020-10-27T16:35:58Z,0,0,0
pytorch,Make `Tracer.trace()` just return a Graph ([#45704](https://github.com/pytorch/pytorch/pull/45704,https://api.github.com/repos/pytorch/pytorch/releases/39280362,2021-03-04T20:44:39Z,0,0,0
facebook,Shallow renderer should filter legacy context according to `contextTypes`. ([@koba04](https://github.com/koba04) in [#11922](https://github.com/facebook/react/pull/11922,https://api.github.com/repos/facebook/react/releases/10325349,2018-03-29T20:57:42Z,0,1,code_debt
pytorch,`torch.linspace` clearer error message for negative step sizes. ([28274](https://github.com/pytorch/pytorch/pull/28274),https://api.github.com/repos/pytorch/pytorch/releases/22877176,2020-01-16T00:03:49Z,1,1,code_debt
pytorch, Improve portability of int and float checks. ([#19532](https://github.com/pytorch/pytorch/pull/19532,https://api.github.com/repos/pytorch/pytorch/releases/17080796,2019-05-01T00:09:03Z,1,1,compatibility_debt
angular,include query parameters for open HTTP requests in `verify` (#44917,https://api.github.com/repos/angular/angular/releases/58542213,2022-02-02T18:48:41Z,0,0,0
twbs,**- #34255: Don't set auto margin on offcanvas clo,https://api.github.com/repos/twbs/bootstrap/releases/45049786,2021-06-22T18:36:18Z,0,0,0
twbs,**- Updated links to always use https and fix broken URL,https://api.github.com/repos/twbs/bootstrap/releases/14528836,2018-12-14T00:27:06Z,0,1,code_debt
facebook,Add the ability to specify `propTypes` on a context provider component. ([@nicolevy](https://github.com/nicolevy) in [#12658](https://github.com/facebook/react/pull/12658,https://api.github.com/repos/facebook/react/releases/11147851,2018-05-24T01:19:16Z,0,0,0
